id;nazwa;species_name;family;order;ioc_english_name;ioc_latin_binomial;match_mode
1;001.Black_footed_Albatross;Black footed Albatross;Diomedeidae;PROCELLARIIFORMES;Black-footed Albatross;Phoebastria nigripes;direct
2;002.Laysan_Albatross;Laysan Albatross;Diomedeidae;PROCELLARIIFORMES;Laysan Albatross;Phoebastria immutabilis;direct
3;003.Sooty_Albatross;Sooty Albatross;Diomedeidae;PROCELLARIIFORMES;Sooty Albatross;Phoebetria fusca;direct
4;004.Groove_billed_Ani;Groove billed Ani;Cuculidae;CUCULIFORMES;Groove-billed Ani;Crotophaga sulcirostris;direct
5;005.Crested_Auklet;Crested Auklet;Alcidae;CHARADRIIFORMES;Crested Auklet;Aethia cristatella;direct
6;006.Least_Auklet;Least Auklet;Alcidae;CHARADRIIFORMES;Least Auklet;Aethia pusilla;direct
7;007.Parakeet_Auklet;Parakeet Auklet;Alcidae;CHARADRIIFORMES;Parakeet Auklet;Aethia psittacula;direct
8;008.Rhinoceros_Auklet;Rhinoceros Auklet;Alcidae;CHARADRIIFORMES;Rhinoceros Auklet;Cerorhinca monocerata;direct
9;009.Brewer_Blackbird;Brewer Blackbird;Icteridae;PASSERIFORMES;Brewer's Blackbird;Euphagus cyanocephalus;alias
10;010.Red_winged_Blackbird;Red winged Blackbird;Icteridae;PASSERIFORMES;Red-winged Blackbird;Agelaius phoeniceus;direct
11;011.Rusty_Blackbird;Rusty Blackbird;Icteridae;PASSERIFORMES;Rusty Blackbird;Euphagus carolinus;direct
12;012.Yellow_headed_Blackbird;Yellow headed Blackbird;Icteridae;PASSERIFORMES;Yellow-headed Blackbird;Xanthocephalus xanthocephalus;direct
13;013.Bobolink;Bobolink;Icteridae;PASSERIFORMES;Bobolink;Dolichonyx oryzivorus;direct
14;014.Indigo_Bunting;Indigo Bunting;Cardinalidae;PASSERIFORMES;Indigo Bunting;Passerina cyanea;direct
15;015.Lazuli_Bunting;Lazuli Bunting;Cardinalidae;PASSERIFORMES;Lazuli Bunting;Passerina amoena;direct
16;016.Painted_Bunting;Painted Bunting;Cardinalidae;PASSERIFORMES;Painted Bunting;Passerina ciris;direct
17;017.Cardinal;Cardinal;Cardinalidae;PASSERIFORMES;Northern Cardinal;Cardinalis cardinalis;alias
18;018.Spotted_Catbird;Spotted Catbird;Ptilonorhynchidae;PASSERIFORMES;Spotted Catbird;Ailuroedus maculosus;direct
19;019.Gray_Catbird;Gray Catbird;Mimidae;PASSERIFORMES;Grey Catbird;Dumetella carolinensis;alias
20;020.Yellow_breasted_Chat;Yellow breasted Chat;Icteriidae;PASSERIFORMES;Yellow-breasted Chat;Icteria virens;direct
21;021.Eastern_Towhee;Eastern Towhee;Passerellidae;PASSERIFORMES;Eastern Towhee;Pipilo erythrophthalmus;direct
22;022.Chuck_will_Widow;Chuck will Widow;Caprimulgidae;CAPRIMULGIFORMES;Chuck-will's-widow;Antrostomus carolinensis;alias
23;023.Brandt_Cormorant;Brandt Cormorant;Phalacrocoracidae;SULIFORMES;Brandt's Cormorant;Urile penicillatus;alias
24;024.Red_faced_Cormorant;Red faced Cormorant;Phalacrocoracidae;SULIFORMES;Red-faced Cormorant;Urile urile;direct
25;025.Pelagic_Cormorant;Pelagic Cormorant;Phalacrocoracidae;SULIFORMES;Pelagic Cormorant;Urile pelagicus;direct
26;026.Bronzed_Cowbird;Bronzed Cowbird;Icteridae;PASSERIFORMES;Bronzed Cowbird;Molothrus aeneus;direct
27;027.Shiny_Cowbird;Shiny Cowbird;Icteridae;PASSERIFORMES;Shiny Cowbird;Molothrus bonariensis;direct
28;028.Brown_Creeper;Brown Creeper;Certhiidae;PASSERIFORMES;Brown Creeper;Certhia americana;direct
29;029.American_Crow;American Crow;Corvidae;PASSERIFORMES;American Crow;Corvus brachyrhynchos;direct
30;030.Fish_Crow;Fish Crow;Corvidae;PASSERIFORMES;Fish Crow;Corvus ossifragus;direct
